Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Recommended_Exercises,Exercise_Type_Details
54,Male,55.2,1.71,164,152,67,0.77,579.0,Cardio,24.4,2.8,2,1,18.88,"Side-to-side box skip, Dumbbell Bulgarian split squat, Burpee","Type: Cardio, Equipment: Machine, Level: Intermediate"
49,Male,46.5,1.72,169,120,72,1.4,832.0,Yoga,22.2,2.6,4,2,15.72,"Hanging crunch, MetaBurn Alternating Plank Row With Dumbbell Pull-Through, HM Plank Alternating Hip-Dip","Type: Stretching, Equipment: Other, Level: Beginner"
26,Female,70.9,1.66,184,125,68,0.81,506.0,HIIT,28.9,1.7,3,1,25.73,"HM Fragon, Knees tucked crunch, HM Inchworm","Type: Cardio, Equipment: Other, Level: Beginner"
58,Male,74.6,1.75,193,137,58,1.09,739.0,HIIT,24.2,2.9,2,1,24.36,"Holman Right Reverse Lunge Biceps Curl to Right Knee-Up Biceps Curl, Holman Heavy Double Pike, Otis-Up","Type: Cardio, Equipment: Body Only, Level: Intermediate"
52,Male,45.1,1.72,196,129,70,0.93,594.0,Cardio,27.5,3.3,2,1,15.24,"Seated Hamstring and Calf Stretch, Push-up sprawl tuck jump, HM High Knees","Type: Cardio, Equipment: Body Only, Level: Intermediate"
36,Male,99.9,1.99,189,147,73,1.33,1075.0,Yoga,20.9,2.5,3,1,25.23,"Holman Alternating Front Raise to Side Raise, Alternating sit-through with crunch-, HM Low Lunge With External Twist And Arm Reach","Type: Stretching, Equipment: Body Only, Level: Intermediate"
33,Male,117.0,1.61,166,130,55,1.04,744.0,HIIT,25.1,2.4,3,2,45.14,"Barbell Ab Rollout - On Knees, Holman Left Hand Right Foot Sleeping Crab, Cross-body sit-up","Type: Cardio, Equipment: Body Only, Level: Intermediate"
20,Female,75.9,1.73,165,152,63,1.39,1056.0,Strength,30.6,2.1,4,2,25.36,"Bench Press with Chains, Romanian Deadlift from Deficit, TBS Incline Dumbbell Curl","Type: Strength, Equipment: Dumbbell, Level: Intermediate"
37,Female,71.2,1.64,162,120,73,1.11,666.0,HIIT,29.9,1.7,3,2,26.47,"Partner sit-up with high-five, Sit-up with single-arm overhand throw, Jumping knee up-down","Type: Cardio, Equipment: Body Only, Level: Intermediate"
41,Male,78.8,1.72,172,132,62,1.01,660.0,Cardio,27.3,3.1,4,2,26.64,"Medicine ball cowboy squat, HM Reverse Lunge with Kick, Kneeling quad thoracic stretch","Type: Cardio, Equipment: Body Only, Level: Beginner"
50,Male,50.6,1.69,162,156,60,1.31,1012.0,Cardio,23.8,3.0,2,1,17.72,"KV Cable Squat, Square Hop, Hang Snatch","Type: Cardio, Equipment: Other, Level: Intermediate"
41,Male,82.5,1.79,185,139,61,1.69,1163.0,Cardio,14.7,3.5,4,3,25.75,"Barbell back squat to box, HM Ninja Crawl, Gorilla squat","Type: Cardio, Equipment: Machine, Level: Intermediate"
28,Male,108.5,1.79,183,120,68,1.33,878.0,HIIT,24.8,2.1,4,2,33.86,"FYR2 Double-Kettlebell Ballin' Lunge, Barbell Squat To A Box, Sumo Deadlift with Chains","Type: Cardio, Equipment: Machine, Level: Intermediate"
25,Male,49.9,1.98,165,122,68,1.15,772.0,Yoga,25.7,2.1,3,2,12.73,"Decline plate sit-up twist, Single-arm kettlebell clean, Double Kettlebell Push Press","Type: Stretching, Equipment: Body Only, Level: Intermediate"
53,Male,125.1,1.91,171,137,70,0.52,353.0,Strength,28.3,3.1,2,1,34.29,"Lying cable biceps curl, HM Single-Leg Overhead Dumbbell Press, MetaBurn Plank To Alternating Side Plank","Type: Strength, Equipment: Body Only, Level: Beginner"
55,Female,79.7,1.66,195,160,68,1.06,763.0,Cardio,27.8,1.9,2,1,28.92,"Single-Leg Press, Boss Everline Backward Lunge Walk, Holman Squat to Right-Arm Overhead Press","Type: Cardio, Equipment: Body Only, Level: Intermediate"
57,Male,126.8,1.63,161,133,73,0.96,632.0,Yoga,20.8,2.1,2,1,47.72,"Otis-Up, Power Stairs, Single-arm lateral raise","Type: Stretching, Equipment: Other, Level: Beginner"
37,Female,54.6,1.57,170,150,62,1.31,982.0,Strength,32.1,2.4,3,1,22.15,"Full Moon, Holman Left Reverse Lunge to Front Kick, Push-up sprawl tuck jump","Type: Strength, Equipment: Other, Level: Intermediate"
52,Female,47.8,1.54,198,146,63,1.34,880.0,Cardio,29.8,1.9,3,2,20.16,"Stationary bike, Push-up sprawl tuck jump, AM Seated Hamstring Curl","Type: Cardio, Equipment: Body Only, Level: Intermediate"
42,Male,97.9,1.91,193,136,73,1.01,680.0,Strength,29.0,2.8,3,2,26.84,"MetaBurn Push-Up To Frogger, Dumbbell bench press-, Holman Right Reverse Lunge to Front Kick","Type: Strength, Equipment: Dumbbell, Level: Intermediate"
52,Female,63.1,1.54,185,165,67,1.36,1010.0,Strength,34.8,1.8,3,2,26.61,"Machine bench press, Exercise ball roll-out, Holman Hands-Elevated Squat Thrust to Split Jack","Type: Strength, Equipment: Bands, Level: Intermediate"
42,Female,72.4,1.69,177,148,61,1.07,713.0,Yoga,29.0,2.3,3,2,25.35,"Plank Walk, Hanging leg raise with throw down, HM Crunch Pulse","Type: Stretching, Equipment: Body Only, Level: Intermediate"
46,Female,58.9,1.7,180,155,53,1.52,1060.0,Strength,17.1,2.7,4,3,20.38,"30 Bosu Cable Reverse Crunch, ACFT Superman push-up, UNS Quadruped thoracic rotation","Type: Strength, Equipment: Other, Level: Intermediate"
35,Female,50.4,1.6,195,156,59,1.03,803.0,Cardio,29.1,1.9,4,2,19.69,"Reverse Lunge Rotation, Alien Squat, Holman Hands-Elevated Alternating Lunge Jump","Type: Cardio, Equipment: Body Only, Level: Beginner"
35,Female,64.2,1.59,199,145,66,1.63,1182.0,Yoga,16.6,2.7,5,3,25.39,"Hanging leg raise with throw down, Incline Front Dumbbell Raise - Gethin Variation, FYR Dumbbell Shoulder Press","Type: Stretching, Equipment: Body Only, Level: Beginner"
19,Female,58.8,1.77,181,136,53,1.4,952.0,HIIT,32.8,2.7,2,1,18.77,"Rocket Jump, FYR2 Dumbbell Crab Reach, MetaBurn Curtsy Lunge","Type: Cardio, Equipment: Body Only, Level: Intermediate"
52,Male,105.2,1.62,189,141,61,1.36,949.0,HIIT,27.6,3.2,3,1,40.09,"Holman Weighted Burpee to Chest Press, Snatch Balance, MetaBurn Dumbbell Toe-Touch","Type: Cardio, Equipment: Machine, Level: Intermediate"
33,Female,45.9,1.5,189,144,62,0.92,662.0,Yoga,29.8,1.7,3,1,20.4,"Holman Right Side Diagonal Burpee, Tyler Holt Hanging Toes-To-Bar, See-Saw Press (Alternating Side Press)","Type: Stretching, Equipment: Bands, Level: Intermediate"
58,Female,65.2,1.63,167,121,53,1.12,610.0,HIIT,25.4,2.0,3,2,24.54,"Barbell walking lunge, Holman Stair Sprint, Holman Alternating Crab Reach","Type: Cardio, Equipment: Machine, Level: Intermediate"
53,Female,56.3,1.79,193,141,59,1.52,964.0,Strength,16.5,2.7,5,3,17.57,"Taylor One-Arm Push-Up Slow Negative, HM Side-Bend Pose, Seated Front Deltoid","Type: Strength, Equipment: Kettlebells, Level: Beginner"
50,Male,90.0,1.7,168,124,74,0.81,497.0,Cardio,22.9,2.7,2,1,31.14,"UP Leg Press, Band front squat, Lying quad stretch with band","Type: Cardio, Equipment: Body Only, Level: Intermediate"
21,Female,60.0,1.7,179,123,52,1.97,1212.0,Strength,19.1,2.7,5,3,20.76,"Parallel bars leg raise, Barbell Squat, Holman Left Reverse Lunge to Front Kick","Type: Strength, Equipment: Dumbbell, Level: Intermediate"
50,Male,51.5,1.71,199,155,64,1.48,1136.0,Yoga,20.9,2.9,2,1,17.61,"Exercise ball bird dog, Holman Slow Arnold Press, Swiss Ball V-Up With Foot Pass","Type: Stretching, Equipment: Body Only, Level: Intermediate"
31,Female,63.1,1.64,184,125,51,1.54,962.0,Cardio,19.0,2.7,4,3,23.46,"Trap Bar Jump, Single-arm dumbbell front squat, Holman Right Leg Forward Lunge Hop","Type: Cardio, Equipment: Other, Level: Intermediate"
38,Male,91.5,1.77,178,140,74,0.8,616.0,Yoga,26.7,3.4,2,1,29.21,"30 Seated Twist With PVC Pipe, Vertical Swing, Holman Heavy Double Split Pike","Type: Stretching, Equipment: Other, Level: Beginner"
37,Male,48.7,1.67,164,132,74,1.39,1009.0,Yoga,27.3,3.0,2,1,17.46,"Axle Clean And Press, Parallel bars knee raise, Good Morning off Pins","Type: Stretching, Equipment: Body Only, Level: Beginner"
25,Female,57.8,1.56,170,156,66,1.35,1053.0,Yoga,29.3,1.6,3,2,23.75,"Rope Face Pull - Gethin Variation, Plank reach, Spider crunch","Type: Stretching, Equipment: nan, Level: Beginner"
24,Female,42.0,1.75,174,144,55,0.83,598.0,Strength,31.8,2.3,3,1,13.71,"Behind Head Chest Stretch, Exercise ball knee roll-in, HM Kick-Back","Type: Strength, Equipment: Dumbbell, Level: Intermediate"
20,Male,128.4,1.92,167,145,57,0.63,502.0,Cardio,26.1,2.0,2,1,34.83,"Front Squat (Clean Grip), HM Walking Hip Stretch, Leg Extensions - Gethin Variation","Type: Cardio, Equipment: Body Only, Level: Intermediate"
34,Female,74.2,1.57,178,158,52,1.47,1161.0,Cardio,32.7,2.4,3,1,30.1,"Narrow-stance hack squat, AM Bodyweight Squat, Wall ball toss","Type: Cardio, Equipment: Other, Level: Intermediate"
50,Male,89.6,1.68,182,139,74,1.79,1232.0,Cardio,12.2,3.5,5,3,31.75,"Power clean, Barbell Front-To-Back Squat, Hang Clean","Type: Cardio, Equipment: Body Only, Level: Intermediate"
29,Male,125.9,2.0,186,152,67,1.36,1137.0,Strength,24.7,3.1,4,2,31.48,"Holman Biceps Curl to Chest Punch, Alligator Crawl, HM Cross-Over Crunch","Type: Strength, Equipment: Other, Level: Beginner"
39,Male,105.5,1.99,199,133,71,0.81,593.0,HIIT,26.4,2.5,2,1,26.64,"Holman Towel Wax-On Wax-Off, FYR2 Alternating Kettlebell Squat Clean, Single-arm side deadlift","Type: Cardio, Equipment: Body Only, Level: Beginner"
39,Male,93.4,1.7,191,155,50,1.1,938.0,Strength,21.1,2.5,4,2,32.32,"Kettlebell Windmill, Holman Towel Wide Hill Climber, Holman Elbow Plank Jack to Ninja Knees","Type: Strength, Equipment: Barbell, Level: Intermediate"
47,Male,82.1,1.84,185,136,65,1.37,922.0,Strength,24.4,3.4,4,2,24.25,"HM Side-Plank with Hip Touch, Dumbbell lateral hop to sprint, Holman Stair Bear Crawl","Type: Strength, Equipment: Other, Level: Intermediate"
55,Female,42.9,1.69,186,140,56,0.9,567.0,Yoga,34.7,2.4,2,1,15.02,"Kneeling cable oblique crunch, Double Kettlebell Swing, Single-kettlebell windmill","Type: Stretching, Equipment: nan, Level: Beginner"
55,Male,128.4,1.68,178,165,52,1.13,923.0,Cardio,20.4,2.6,4,2,45.49,"Leg Press - Gethin Variation, Holman Mule Kick, Holman Towel Left Side Squat","Type: Cardio, Equipment: Machine, Level: Intermediate"
25,Male,112.4,1.96,188,135,72,1.42,1054.0,Cardio,23.2,2.5,2,1,29.26,"Standing barbell calf raise, Linear 3-Part Start Technique, King Maker Hack Squat","Type: Cardio, Equipment: Other, Level: Beginner"
44,Female,77.7,1.79,198,165,53,1.41,1047.0,HIIT,28.1,2.2,3,1,24.25,"Smith machine back squat, Holman Plate Hill Climber, HM Dead Bug","Type: Cardio, Equipment: Body Only, Level: Intermediate"
44,Male,89.3,1.99,192,135,58,1.4,936.0,HIIT,26.3,2.0,4,2,22.55,"FYR2 Kettlebell Goblet Squat, 30 Side Plank On Ball, Total Fitness Spider Lunge","Type: Cardio, Equipment: Body Only, Level: Beginner"
51,Female,70.3,1.55,178,139,54,1.4,876.0,Yoga,26.1,1.6,3,1,29.26,"Elbow plank, Holman Side Plank Crunch, Straight-arm plank","Type: Stretching, Equipment: Body Only, Level: Intermediate"
38,Female,59.1,1.72,196,148,68,1.07,792.0,Cardio,31.3,1.7,3,2,19.98,"Holman Prisoner Reverse Lunge, Leverage Deadlift, Smith Machine Standing Calf Raises - Gethin Variation","Type: Cardio, Equipment: Machine, Level: Intermediate"
47,Female,49.9,1.69,178,147,64,1.48,979.0,HIIT,26.0,1.7,3,2,17.47,"FYR2 Banded Frog Pump, Holman Burpee to Open Stance, Seated leg lift","Type: Cardio, Equipment: Body Only, Level: Intermediate"
50,Male,101.7,1.67,192,127,57,0.53,333.0,HIIT,20.9,2.9,2,1,36.47,"Swiss Ball Ab Roll-Out, FYR2 Sprawlee, MetaBurn-V-Up","Type: Cardio, Equipment: Machine, Level: Intermediate"
45,Male,93.0,1.91,175,143,55,1.03,729.0,Cardio,27.3,3.7,3,2,25.49,"Holman Renegade Lunge Jump, Lying Hamstring Curls - Gethin Variation, Holman Weighted Lunge Jump to Floor Lunge Jump","Type: Cardio, Equipment: Body Only, Level: Intermediate"
50,Male,87.4,1.6,182,122,67,0.77,465.0,Strength,23.2,3.1,2,1,34.14,"Power Snatch from Blocks, Triceps Overhead Extension with Rope - Gethin Variation, MetaBurn Plank Jack","Type: Strength, Equipment: Body Only, Level: Intermediate"
22,Female,55.1,1.61,166,144,68,1.62,1166.0,HIIT,19.9,2.7,4,3,21.26,"Frog Hops, Ab Crunch Machine, Holman Straight Plank with Alternating Leg Kick-Under","Type: Cardio, Equipment: Body Only, Level: Intermediate"
36,Male,123.7,1.69,185,138,73,1.3,987.0,Cardio,20.4,2.1,4,2,43.31,"UP Single-Leg Press, Muscle Beach Skip, Holman Flying Squat Thrust","Type: Cardio, Equipment: Body Only, Level: Intermediate"
21,Female,61.3,1.57,191,152,64,1.94,1474.0,HIIT,17.2,2.7,4,3,24.87,"FYR2 Squat Hold, HM Low Lunge With External Twist, Flutter kick","Type: Cardio, Equipment: Other, Level: Beginner"
52,Male,72.3,1.94,171,121,56,1.46,874.0,Yoga,21.1,2.9,3,2,19.21,"Hanging knee raise with manual resistance, Dumbbell Fix Dumbbell Russian Twist, Single-arm kettlebell thruster","Type: Stretching, Equipment: Body Only, Level: Intermediate"
34,Female,69.2,1.53,167,134,59,1.36,911.0,HIIT,28.5,2.1,2,1,29.56,"King Maker Explosive High Jump, Standing leg swing, 30 Legs Smith Machine Squat","Type: Cardio, Equipment: Body Only, Level: Intermediate"
45,Male,81.4,1.61,164,141,55,1.14,796.0,Cardio,30.0,2.2,4,2,31.4,"FYR Alternating Lunge, Depth jump box jump, One Half Locust","Type: Cardio, Equipment: Machine, Level: Intermediate"
47,Male,84.8,1.86,187,129,63,1.85,1181.0,HIIT,14.4,3.5,5,3,24.51,"HM Frankenstein, Holman Right Lunge Jump with Right Overhead Press, Dumbbell Crunch - Gethin Variation","Type: Cardio, Equipment: Machine, Level: Intermediate"
46,Male,55.1,1.72,164,137,66,1.43,970.0,Yoga,20.5,3.6,3,2,18.62,"Full Moon, HM Low Lunge With External Twist And Arm Reach, Alternating dumbbell front raise","Type: Stretching, Equipment: Body Only, Level: Intermediate"
23,Female,59.0,1.78,185,141,58,1.67,1177.0,Yoga,17.8,2.7,5,3,18.62,"MetaBurn Plank With Alternating Toe-Touch, 30 Shoulders Smith Machine Shoulder Press, FYR V-Up","Type: Stretching, Equipment: nan, Level: Beginner"
52,Female,64.9,1.51,164,165,68,1.83,1359.0,HIIT,18.2,2.7,4,3,28.46,"Elbow plank jack, Holman Elbow Plank Jack, Skip","Type: Cardio, Equipment: Body Only, Level: Intermediate"
58,Male,109.7,1.75,181,168,54,1.01,840.0,HIIT,22.1,2.7,2,1,35.82,"Holman Right Leg 7-Up Crunch, FYR2 Kettlebell Get-Up Reach, Banded jump squat","Type: Cardio, Equipment: Body Only, Level: Intermediate"
54,Male,78.4,1.9,174,146,72,0.81,585.0,Yoga,21.5,3.7,2,1,21.72,"FYR2 Wide Overhead Press, Partner resistance standing twist, Linear 3-Part Start Technique","Type: Stretching, Equipment: Body Only, Level: Intermediate"
41,Female,76.7,1.79,172,132,56,1.4,832.0,Yoga,34.0,2.0,4,2,23.94,"Holman Single-Leg Left Pike, Holman Side Plank Hip Drop, Crucifix","Type: Stretching, Equipment: nan, Level: Beginner"
46,Female,63.1,1.61,187,152,68,1.0,684.0,Strength,34.7,2.2,4,2,24.34,"Single-leg V-up, Partner front Russian twist and pass, Burpee over kettlebell","Type: Strength, Equipment: Dumbbell, Level: Intermediate"
48,Female,62.9,1.58,192,124,69,1.98,1105.0,Strength,20.0,2.7,4,3,25.2,"Southpaw sprawl with push-up, UP Cable Fly, Single-arm lying cable front raise","Type: Strength, Equipment: Machine, Level: Intermediate"
52,Male,85.6,1.74,182,145,56,1.84,1321.0,Yoga,13.9,3.5,4,3,28.27,"Holman Weighted Cross Punch, Dumbbell crusher, Total Fitness Hollow Hold","Type: Stretching, Equipment: Body Only, Level: Intermediate"
50,Female,66.3,1.57,192,132,73,1.25,742.0,HIIT,31.6,1.6,2,1,26.9,"Stomach Vacuum, Barbell speed squat, Holman Hands-Elevated Hill Climber","Type: Cardio, Equipment: Body Only, Level: Intermediate"
38,Male,61.3,1.97,177,146,51,1.37,1100.0,Cardio,23.5,2.8,3,1,15.8,"Holman Burpee with Belly Touch, Boss Everline 10-Yard Sprints, FYR Jumping Lunge","Type: Cardio, Equipment: Machine, Level: Intermediate"
49,Female,44.1,1.65,189,133,74,1.16,694.0,HIIT,26.7,1.8,4,2,16.2,"Holman Reverse Crunch to Hip Raise, Bouncing lunge, Banded crunch","Type: Cardio, Equipment: Other, Level: Beginner"
40,Male,63.8,1.62,185,143,72,1.3,1022.0,HIIT,20.8,3.4,2,1,24.31,"30 Legs Smith Machine Squat, Holman Burpee to Flying Jack, Half Turkish get-up","Type: Cardio, Equipment: Other, Level: Intermediate"
50,Female,55.4,1.55,175,122,65,1.85,1016.0,Strength,18.5,2.7,4,3,23.06,"FYR2 Dumbbell Lateral Raise, FYR Band Pull-Apart, 30 Shoulders Smith Machine Behind-The-Head Press","Type: Strength, Equipment: Bands, Level: Beginner"
20,Female,74.7,1.58,172,166,62,1.04,863.0,Strength,32.8,2.4,3,2,29.92,"Holman Reverse Crunch to Hip Raise, Dumbbell thruster, MetaBurn Push-Up With Hand-Up Rotation","Type: Strength, Equipment: Dumbbell, Level: Beginner"
35,Female,78.0,1.67,198,168,57,1.13,949.0,Strength,33.3,2.5,4,2,27.97,"Smith machine bench press throw, HM Seated Twist, Slide Jump Shot","Type: Strength, Equipment: Body Only, Level: Intermediate"
42,Female,57.5,1.67,192,149,55,1.14,764.0,Yoga,34.1,2.4,2,1,20.62,"MetaBurn Plyo Push-Up, Car driver, Holman Boat Press with Leg Extension","Type: Stretching, Equipment: Body Only, Level: Intermediate"
59,Female,60.7,1.73,185,154,55,1.03,714.0,Yoga,33.8,2.5,3,2,20.28,"Parallel bars leg raise, Ab Twist - Gethin Variation, Cross-Body Crunch","Type: Stretching, Equipment: nan, Level: Beginner"
48,Male,69.0,1.74,160,167,58,1.48,1223.0,HIIT,30.0,2.3,3,2,22.79,"Tyler Holt Cable Torso Twist, BOSU cross-body crunch, Power snatch-","Type: Cardio, Equipment: Body Only, Level: Intermediate"
20,Female,75.8,1.78,197,133,53,1.42,944.0,HIIT,27.4,2.0,4,2,23.92,"Car Deadlift, Holman Alternating Hip Drop to Push-Up, Clean Deadlift","Type: Cardio, Equipment: Machine, Level: Intermediate"
57,Female,75.7,1.63,161,131,60,0.69,407.0,Cardio,32.6,2.3,3,1,28.49,"Holman Quick Feet to Quad Touch Jump, Narrow-stance leg press, High knees sprawl drill","Type: Cardio, Equipment: Other, Level: Intermediate"
41,Female,71.2,1.64,165,147,54,1.42,939.0,HIIT,30.9,2.3,3,2,26.47,"30 Bosu Cable Reverse Crunch, FYR2 Flutter Kick, Holman Straight Plank Hand Tap to Shoulder Tap","Type: Cardio, Equipment: Body Only, Level: Intermediate"
49,Male,85.0,1.68,197,163,74,1.82,1468.0,HIIT,11.3,3.5,4,3,30.12,"30 Legs Single-Leg Leg Press, Trail Running/Walking, 3D dumbbell lunge","Type: Cardio, Equipment: Body Only, Level: Intermediate"
39,Female,63.6,1.56,183,148,66,1.22,903.0,Strength,34.8,2.4,2,1,26.13,"Dumbbell chest fly, Lunge glute stretch, Line-Drill Foot Work","Type: Strength, Equipment: Medicine Ball, Level: Intermediate"
40,Male,73.2,1.94,177,162,69,0.81,722.0,Strength,29.0,2.4,2,1,19.45,"30 Flutter Kick, Tire flip, HM Bottoms Up","Type: Strength, Equipment: Dumbbell, Level: Intermediate"
19,Female,48.3,1.52,186,136,56,0.96,653.0,Strength,26.3,1.6,2,1,20.91,"FYR2 Front Kick-Through, Incline cable rope triceps extension, Seated Bent-Over Two-Arm Dumbbell Triceps Extension","Type: Strength, Equipment: Machine, Level: Intermediate"
44,Female,42.8,1.78,167,159,64,1.49,1066.0,Strength,25.3,2.6,3,2,13.51,"30 Shoulders Seated Dumbbell Side Raise, Holman Feet-Elevated Squat Thrust, UNS Inverted row","Type: Strength, Equipment: Body Only, Level: Intermediate"
59,Male,88.1,1.76,187,168,74,1.35,1123.0,Strength,26.9,3.0,3,2,28.44,"Kettlebell Seated Press, Holman Weighted Cross Punch, King Maker Incline Barbell Bench Press","Type: Strength, Equipment: Kettlebells, Level: Intermediate"
19,Female,72.4,1.75,169,140,64,1.2,840.0,Cardio,31.0,1.7,4,2,23.64,"Sled Push, Seated Calf Stretch, Holman Alternating Double Lunge Hop","Type: Cardio, Equipment: Body Only, Level: Beginner"
43,Male,73.2,1.88,176,142,63,1.17,822.0,Cardio,29.4,3.3,3,1,20.71,"Dumbbell front squat, Jump Lunge To Feet Jack, Landmine squat","Type: Cardio, Equipment: Machine, Level: Intermediate"
34,Male,110.5,1.86,188,139,62,1.42,1086.0,Cardio,22.3,3.6,2,1,31.94,"Holman Alternating Weighted Diagonal Burpee, Band overhead squat, Boss Everline 10-Yard Sprints","Type: Cardio, Equipment: Body Only, Level: Intermediate"
57,Female,46.1,1.76,165,130,60,1.44,842.0,Strength,25.8,1.7,3,2,14.88,"UP Cable Fly, MetaBurn 3-Way Shoulder Raise, AM Chest Dips","Type: Strength, Equipment: Body Only, Level: Intermediate"
50,Male,90.8,1.71,173,153,62,1.07,810.0,Yoga,22.6,3.4,4,2,31.05,"Lying cable front raise, Roc Everest, Taylor Single-Arm Kettlebell Swing","Type: Stretching, Equipment: nan, Level: Beginner"
26,Female,59.3,1.51,181,129,71,1.7,1096.0,Strength,15.1,2.7,5,3,26.01,"Cross-body shoulder stretch, Seated triceps press, Holman Right Reverse Lunge to Front Kick","Type: Strength, Equipment: Body Only, Level: Intermediate"
56,Female,45.1,1.73,165,129,73,0.83,482.0,Strength,25.4,2.6,3,1,15.07,"Two-way swing, Single-arm landmine press, Lying Leg Curls","Type: Strength, Equipment: Body Only, Level: Intermediate"
46,Male,45.0,1.77,185,162,58,1.48,1187.0,Cardio,29.1,3.6,3,2,14.36,"Dumbbell Squat Snatch, Dumbbell walking lunge-, MetaBurn Double Lunge","Type: Cardio, Equipment: Body Only, Level: Intermediate"
59,Male,89.4,1.62,198,125,59,1.43,885.0,Strength,23.5,3.6,3,2,34.06,"Yoke Walk, Holman Butt Kicker to High Knees, Seated triceps press","Type: Strength, Equipment: Body Only, Level: Intermediate"
43,Male,127.7,1.69,171,155,53,1.14,875.0,Cardio,24.1,2.9,3,2,44.71,"Jumping rope, Dumbbell front squat, Holman Half Jack to 180 Jump","Type: Cardio, Equipment: Machine, Level: Intermediate"
52,Male,70.9,1.72,194,143,66,1.31,927.0,Strength,20.2,2.6,3,2,23.97,"One-Arm Flat Bench Dumbbell Flye, Holman Dumbbell Hip Drive to Overhead Press, Shoulder tap","Type: Strength, Equipment: Body Only, Level: Intermediate"
42,Female,49.2,1.5,173,131,63,1.15,678.0,HIIT,27.7,1.5,3,2,21.87,"Side Hop-Sprint, FYR2 Plank Alternating Front Step, Squat with Bands","Type: Cardio, Equipment: Body Only, Level: Intermediate"
41,Female,62.3,1.79,181,162,73,1.99,1451.0,Yoga,19.0,2.7,5,3,19.44,"Partner plank band row, HM Low Lunge With External Twist, Reverse Machine Flyes","Type: Stretching, Equipment: Body Only, Level: Intermediate"
30,Male,64.1,1.87,182,142,67,0.64,500.0,Yoga,26.2,2.1,2,1,18.33,"One-Arm Cable Side Raise - Gethin Variation, Jordan Shallow Foam Roller Thoracic Extension, Lying groin stretch with band","Type: Stretching, Equipment: Body Only, Level: Intermediate"
24,Female,69.7,1.75,166,146,60,1.41,1029.0,Cardio,32.5,2.0,3,1,22.76,"Holman Kettlebell Swing, Single-Leg Box Jump, Smith machine stiff-legged deadlift","Type: Cardio, Equipment: Machine, Level: Intermediate"
53,Female,56.9,1.59,199,164,65,1.49,1100.0,HIIT,29.5,2.0,3,2,22.51,"Holman Weighted Burpee to Side Delt Raise, Push-up sprawl tuck jump, Good Morning off Pins","Type: Cardio, Equipment: Body Only, Level: Intermediate"
37,Female,53.0,1.71,184,156,50,1.13,881.0,Yoga,28.1,1.7,4,2,18.13,"Snatch Pull, Single-arm bent-over rear delt fly, Holman Elbow Plank Pike","Type: Stretching, Equipment: Body Only, Level: Beginner"
18,Female,72.7,1.55,172,125,56,0.84,525.0,Cardio,29.8,2.0,3,1,30.26,"Lying leg curl, HM Alternating Side-Kick, 30 Legs Walking Lunge","Type: Cardio, Equipment: Other, Level: Beginner"
25,Male,76.5,1.96,180,120,59,0.67,442.0,Strength,23.2,2.3,3,1,19.91,"Band low-to-high twist, Single-arm kettlebell front squat, Holman Jump to Push-Up","Type: Strength, Equipment: Kettlebells, Level: Intermediate"
33,Male,113.6,1.99,169,125,58,1.38,949.0,Strength,28.4,3.4,2,1,28.69,"HM Frankenstein, Double Kettlebell Swing, Leg-Up Hamstring Stretch","Type: Strength, Equipment: Body Only, Level: Intermediate"
31,Female,62.5,1.62,168,169,74,1.56,1318.0,HIIT,16.5,2.7,4,3,23.81,"Holman Hands-Elevated Hill Climber, FYR2 Front Kick-Through, Skating","Type: Cardio, Equipment: Body Only, Level: Intermediate"
29,Male,95.2,1.86,174,141,52,0.64,496.0,Yoga,26.6,2.5,2,1,27.52,"Holman Heavy Right Arm Overhead Press, Dumbbell Fix Dumbbell Pull-Over, Plank walk-out","Type: Stretching, Equipment: Body Only, Level: Intermediate"
40,Male,51.7,1.82,161,160,71,0.9,792.0,Strength,21.4,3.0,3,1,15.61,"Incline Dumbbell Fly - Gethin Variation, Forward Drag with Press, Side plank hip dip","Type: Strength, Equipment: Body Only, Level: Intermediate"
32,Male,105.3,1.67,184,143,72,0.57,448.0,Cardio,26.9,2.9,3,1,37.76,"Holman Lunge Jump with Overhead Press, Holman Flying Squat Thrust to Push-Up, Smith machine back squat","Type: Cardio, Equipment: Body Only, Level: Intermediate"
45,Female,71.2,1.68,172,144,63,1.37,888.0,Strength,34.1,1.6,3,1,25.23,"FYR Tuck Jump, 30 Arms Incline Biceps Curl, HM In-And-Out Squat Jump","Type: Strength, Equipment: Machine, Level: Intermediate"
51,Female,78.1,1.51,193,134,74,0.92,555.0,Strength,31.1,2.6,3,1,34.25,"Holman Left Reverse Lunge to Front Kick, HM Alternating Reverse Lunge With Biceps Curl, One Knee To Chest","Type: Strength, Equipment: Body Only, Level: Intermediate"
19,Female,50.6,1.68,193,145,64,1.21,877.0,Yoga,30.6,2.1,3,2,17.93,"Kettlebell swing, Dumbbell Fix Dumbbell Pull-Over, Half Turkish get-up","Type: Stretching, Equipment: nan, Level: Beginner"
